"","pais","continente","anio","esperanza_de_vida","poblacion","pib_per_capita"
"1","Afganistán","Asia",1957,30.332,9240934,820.8530296
"2","Albania","Europa",1957,59.28,1476505,1942.284244
"3","Argelia","África",1957,45.685,10270856,3013.976023
"4","Angola","África",1957,31.999,4561361,3827.940465
"5","Argentina","Américas",1957,64.399,19610538,6856.856212
"6","Australia","Oceanía",1957,70.33,9712569,10949.64959
"7","Austria","Europa",1957,67.48,6965860,8842.59803
"8","Baréin","Asia",1957,53.832,138655,11635.79945
"9","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"10","Bélgica","Europa",1957,69.24,8989111,9714.960623
"11","Benin","África",1957,40.358,1925173,959.6010805
"12","Bolivia","Américas",1957,41.89,3211738,2127.686326
"13","Bosnia y Herzegovina","Europa",1957,58.45,3076000,1353.989176
"14","Botswana","África",1957,49.618,474639,918.2325349
"15","Brasil","Américas",1957,53.285,65551171,2487.365989
"16","Bulgaria","Europa",1957,66.61,7651254,3008.670727
"17","Burkina Faso","África",1957,34.906,4713416,617.1834648
"18","Burundi","África",1957,40.533,2667518,379.5646281
"19","Camboya","Asia",1957,41.366,5322536,434.0383364
"20","Camerún","África",1957,40.428,5359923,1313.048099
"21","Canadá","Américas",1957,69.96,17010154,12489.95006
"22","República Centroafricana","África",1957,37.464,1392284,1190.844328
"23","Chad","África",1957,39.881,2894855,1308.495577
"24","Chile","Américas",1957,56.074,7048426,4315.622723
"25","China","Asia",1957,50.54896,637408000,575.9870009
"26","Colombia","Américas",1957,55.118,14485993,2323.805581
"27","Comoras","África",1957,42.46,170928,1211.148548
"28","República Democrática del Congo","África",1957,40.652,15577932,905.8602303
"29","Congo","África",1957,45.053,940458,2315.056572
"30","Costa Rica","Américas",1957,60.026,1112300,2990.010802
"31","Costa de Marfil","África",1957,42.469,3300000,1500.895925
"32","Croacia","Europa",1957,64.77,3991242,4338.231617
"33","Cuba","Américas",1957,62.325,6640752,6092.174359
"34","República Checa","Europa",1957,69.03,9513758,8256.343918
"35","Dinamarca","Europa",1957,71.81,4487831,11099.65935
"36","Yibuti","África",1957,37.328,71851,2864.969076
"37","República Dominicana","Américas",1957,49.828,2923186,1544.402995
"38","Ecuador","Américas",1957,51.356,4058385,3780.546651
"39","Egipto","África",1957,44.444,25009741,1458.915272
"40","El Salvador","Américas",1957,48.57,2355805,3421.523218
"41","Guinea Ecuatorial","África",1957,35.983,232922,426.0964081
"42","Eritrea","África",1957,38.047,1542611,344.1618859
"43","Etiopía","África",1957,36.667,22815614,378.9041632
"44","Finlandia","Europa",1957,67.49,4324000,7545.415386
"45","Francia","Europa",1957,68.93,44310863,8662.834898
"46","Gabón","África",1957,38.999,434904,4976.198099
"47","Gambia","África",1957,32.065,323150,520.9267111
"48","Alemania","Europa",1957,69.1,71019069,10187.82665
"49","Ghana","África",1957,44.779,6391288,1043.561537
"50","Grecia","Europa",1957,67.86,8096218,4916.299889
"51","Guatemala","Américas",1957,44.142,3640876,2617.155967
"52","Guinea","África",1957,34.558,2876726,576.2670245
"53","Guinea Bissau","África",1957,33.489,601095,431.7904566
"54","Haití","Américas",1957,40.696,3507701,1726.887882
"55","Honduras","Américas",1957,44.665,1770390,2220.487682
"56","Hong Kong, China","Asia",1957,64.75,2736300,3629.076457
"57","Hungría","Europa",1957,66.41,9839000,6040.180011
"58","Islandia","Europa",1957,73.47,165110,9244.001412
"59","India","Asia",1957,40.249,409000000,590.061996
"60","Indonesia","Asia",1957,39.918,90124000,858.9002707
"61","Irán","Asia",1957,47.181,19792000,3290.257643
"62","Iraq","Asia",1957,48.437,6248643,6229.333562
"63","Irlanda","Europa",1957,68.9,2878220,5599.077872
"64","Israel","Asia",1957,67.84,1944401,5385.278451
"65","Italia","Europa",1957,67.81,49182000,6248.656232
"66","Jamaica","Américas",1957,62.61,1535090,4756.525781
"67","Japón","Asia",1957,65.5,91563009,4317.694365
"68","Jordania","Asia",1957,45.669,746559,1886.080591
"69","Kenia","África",1957,44.686,7454779,944.4383152
"70","Corea, Rep. Dem.","Asia",1957,54.081,9411381,1571.134655
"71","Corea, Rep.","Asia",1957,52.681,22611552,1487.593537
"72","Kuwait","Asia",1957,58.033,212846,113523.1329
"73","Líbano","Asia",1957,59.489,1647412,6089.786934
"74","Lesoto","África",1957,45.047,813338,335.9971151
"75","Liberia","África",1957,39.486,975950,620.9699901
"76","Libia","África",1957,45.289,1201578,3448.284395
"77","Madagascar","África",1957,38.865,5181679,1589.20275
